Date,Adj Close,Predict
2014/12/13,4765.4,4765.4
2014/12/20,4806.9,4806.9
2014/12/27,4726.8,4726.8
2015/01/03,4704.1,4704.1
2015/01/10,4634.4,4634.4
2015/01/17,4757.9,4757.9
2015/01/24,4635.2,4635.2
2015/01/31,4744.4,4744.4
2015/02/07,4893.8,4893.8
2015/02/14,4956,4956
2015/02/21,4963.5,4963.5
2015/02/28,4927.4,4927.4
2015/03/07,4871.8,4871.8
2015/03/14,5026.4,5026.4
2015/03/21,4891.2,4891.2
2015/03/28,4886.9,4886.9
2015/04/04,4996,4996
2015/04/11,4931.8,4931.8
2015/04/18,5092.1,5092.1
2015/04/25,5005.4,5005.4
2015/05/02,5003.5,5003.5
2015/05/09,5048.3,5048.3
2015/05/16,5089.4,5089.4
2015/05/23,5070,5070
2015/05/30,5068.5,5068.5
2015/06/06,5051.1,5051.1
2015/06/13,5117,5117
2015/06/20,5080.5,5080.5
2015/06/27,5009.2,5009.2
2015/07/04,4997.7,4997.7
2015/07/11,5210.1,5210.1
2015/07/18,5088.6,5088.6
2015/07/25,5128.3,5128.3
2015/08/01,5043.5,5043.5
2015/08/08,5048.2,5048.2
2015/08/15,4706,4706
2015/08/22,4828.3,4828.3
2015/08/29,4683.9,4683.9
2015/09/05,4822.3,4822.3
2015/09/12,4827.2,4827.2
2015/09/19,4686.5,4686.5
2015/09/26,4707.8,4707.8
2015/10/03,4830.5,4830.5
2015/10/10,4886.7,4886.7
2015/10/17,5031.9,5031.9
2015/10/24,5053.8,5053.8
2015/10/31,5147.1,5147.1
2015/11/07,4927.9,4927.9
2015/11/14,5104.9,5104.9
2015/11/21,5127.5,5127.5
2015/11/28,5142.3,5142.3
2015/12/05,4933.5,4933.5
2015/12/12,4923.1,4923.1
2015/12/19,5048.5,5048.5
2015/12/26,5007.4,5007.4
2016/01/02,4643.6,4643.6
2016/01/09,4488.4,4488.4
2016/01/16,4591.2,4591.2
2016/01/23,4614,4614
2016/01/30,4363.1,4363.1
2016/02/06,4337.5,4337.5
2016/02/13,4504.4,4504.4
2016/02/20,4590.5,4590.5
2016/02/27,4717,4717
2016/03/05,4748.5,4748.5
2016/03/12,4795.6,4795.6
2016/03/19,4773.5,4773.5
2016/03/26,4914.5,4914.5
2016/04/02,4850.7,4850.7
2016/04/09,4938.2,4938.2
2016/04/16,4906.2,4906.2
2016/04/23,4775.4,4775.4
2016/04/30,4736.2,4736.2
2016/05/07,4717.7,4717.7
2016/05/14,4769.6,4769.6
2016/05/21,4933.5,4933.5
2016/05/28,4942.5,4942.5
2016/06/04,4894.5,4894.5
2016/06/11,4800.3,4800.3
2016/06/18,4708,4708
2016/06/25,4862.6,4862.6
2016/07/02,4956.8,4956.8
2016/07/09,5029.6,5029.6
2016/07/16,5100.2,5100.2
2016/07/23,5162.1,5162.1
2016/07/30,5221.1,5221.1
2016/08/06,5232.9,5232.9
2016/08/13,5238.4,5238.4
2016/08/20,5218.9,5218.9
2016/08/27,5249.9,5249.9
2016/09/03,5125.9,5125.9
2016/09/10,5244.6,5244.6
2016/09/17,5305.8,5305.8
2016/09/24,5312,5312
2016/10/01,5292.4,5292.4
2016/10/08,5214.2,5214.2
2016/10/15,5257.4,5257.4
2016/10/22,5190.1,5190.1
2016/10/29,5046.4,5046.4
2016/11/05,5237.1,5237.1
2016/11/12,5321.5,5321.5
2016/11/19,5398.9,5398.9
2016/11/26,5255.6,5255.6
2016/12/03,5444.5,5444.5
2016/12/10,5437.2,5437.2
2016/12/17,5462.7,5462.7
2016/12/24,5383.1,5383.1
2016/12/31,5521.1,5521.1
2017/01/07,5574.1,5574.1
2017/01/14,5555.3,5555.3
2017/01/21,5660.8,5660.8
2017/01/28,5666.8,5666.8
2017/02/04,5734.1,5734.1
2017/02/11,5838.6,5838.6
2017/02/18,5845.3,5845.3
2017/02/25,5870.8,5870.8
2017/03/04,5861.7,5861.7
2017/03/11,5901,5901
2017/03/18,5828.7,5828.7
2017/03/25,5911.7,5911.7
2017/04/01,5877.8,5877.8
2017/04/08,5805.1,5805.1
2017/04/15,5910.5,5910.5
2017/04/22,6047.6,6047.6
2017/04/29,6100.8,6100.8
2017/05/06,6121.2,6121.2
2017/05/13,6083.7,6083.7
2017/05/20,6210.2,6210.2
2017/05/27,6305.8,6305.8
2017/06/03,6207.9,6207.9
2017/06/10,6151.8,6151.8
2017/06/17,6265.3,6265.3
2017/06/24,6140.4,6140.4
2017/07/01,6153.1,6153.1
2017/07/08,6312.5,6312.5
2017/07/15,6387.8,6387.8
2017/07/22,6374.7,6374.7
2017/07/29,6351.6,6351.6
2017/08/05,6256.6,6256.6
2017/08/12,6216.5,6216.5
2017/08/19,6265.6,6265.6
2017/08/26,6435.3,6435.3
2017/09/02,6360.2,6360.2
2017/09/09,6448.5,6448.5
2017/09/16,6426.9,6426.9
2017/09/23,6496,6496
2017/09/30,6590.2,6590.2
2017/10/07,6605.8,6605.8
2017/10/14,6629,6629
2017/10/21,6701.3,6701.3
2017/10/28,6764.4,6764.4
2017/11/04,6750.9,6750.9
2017/11/11,6782.8,6782.8
2017/11/18,6889.2,6889.2
2017/11/25,6847.6,6847.6
2017/12/02,6840.1,6840.1
2017/12/09,6936.6,6936.6
2017/12/16,6960,6960
2017/12/23,6903.4,6903.4
2017/12/30,7136.6,7136.6
2018/01/06,7261.1,7261.1
2018/01/13,7336.4,7336.4
2018/01/20,7505.8,7505.8
2018/01/27,7241,7241
2018/02/03,6874.5,6874.5
2018/02/10,7239.5,7239.5
2018/02/17,7337.4,7337.4
2018/02/24,7257.9,7257.9
2018/03/03,7560.8,7560.8
2018/03/10,7482,7482
2018/03/17,6992.7,6992.7
2018/03/24,7063.5,7063.5
2018/03/31,6915.1,6915.1
2018/04/07,7106.6,7106.6
2018/04/14,7146.1,7146.1
2018/04/21,7119.8,7119.8
2018/04/28,7209.6,7209.6
2018/05/05,7402.9,7402.9
2018/05/12,7354.3,7354.3
2018/05/19,7433.9,7433.9
2018/05/26,7554.3,7554.3
2018/06/02,7645.5,7645.5
2018/06/09,7746.4,7746.4
2018/06/16,7692.8,7692.8
2018/06/23,7510.3,7510.3
2018/06/30,7688.4,7688.4
2018/07/07,7826,7826
2018/07/14,7820.2,7820.2
2018/07/21,7737.4,7737.4
2018/07/28,7812,7812
2018/08/04,7839.1,7839.1
2018/08/11,7816.3,7816.3
2018/08/18,7946,7946
2018/08/25,8109.5,8109.5
2018/09/01,7902.5,7902.5
2018/09/08,8010,8010
2018/09/15,7987,7987
2018/09/22,8046.4,8046.4
2018/09/29,7788.5,7788.5
2018/10/06,7496.9,7496.9
2018/10/13,7449,7449
2018/10/20,7167.2,7167.2
2018/10/27,7357,7357
2018/11/03,7406.9,7406.9
2018/11/10,7247.9,7247.9
2018/11/17,6939,6939
2018/11/24,7330.5,7330.5
2018/12/01,6969.3,6969.3
2018/12/08,6910.7,6910.7
2018/12/15,6333,6333
2018/12/22,6584.5,6584.5
2018/12/29,6738.9,6738.9
2019/01/05,6971.5,6971.5
2019/01/12,7157.2,7157.2
2019/01/19,7164.9,7164.9
2019/01/26,7263.9,7263.9
2019/02/02,7298.2,7298.2
2019/02/09,7472.4,7472.4
2019/02/16,7527.5,7527.5
2019/02/23,7595.4,7595.4
2019/03/02,7408.1,7408.1
2019/03/09,7688.5,7688.5
2019/03/16,7642.7,7642.7
2019/03/23,7729.3,7729.3
2019/03/30,7938.7,7938.7
2019/04/06,7984.2,7984.2
2019/04/13,7998.1,7998.1
2019/04/20,8146.4,8146.4
2019/04/27,8164,8164
2019/05/04,7916.9,7916.9
2019/05/11,7816.3,7816.3
2019/05/18,7637,7637
2019/05/25,7453.1,7453.1
2019/06/01,7742.1,7742.1
2019/06/08,7796.7,7796.7
2019/06/15,8031.7,8031.7
2019/06/22,8006.2,8006.2
2019/06/29,8161.8,8161.8
2019/07/06,8244.1,8244.1
2019/07/13,8146.5,8146.5
2019/07/20,8330.2,8330.2
2019/07/27,8004.1,8004.1
2019/08/03,7959.1,7959.1
2019/08/10,7896,7896
2019/08/17,7751.8,7751.8
2019/08/24,7962.9,7962.9
2019/08/31,8103.1,8103.1
2019/09/07,8176.7,8176.7
2019/09/14,8117.7,8117.7
2019/09/21,7939.6,7939.6
2019/09/28,7982.5,7982.5
2019/10/05,8057,8057
2019/10/12,8089.5,8089.5
2019/10/19,8243.1,8243.1
2019/10/26,8386.4,8386.4
2019/11/02,8475.3,8475.3
2019/11/09,8540.8,8540.8
2019/11/16,8519.9,8519.9
2019/11/23,8665.5,8665.5
2019/11/30,8656.5,8656.5
2019/12/07,8734.9,8734.9
2019/12/14,8925,8925
2019/12/21,9006.6,9006.6
2019/12/28,9020.8,9020.8
2020/01/04,9178.9,8733.6
2020/01/11,9388.9,8759.8
2020/01/18,9314.9,8764.9
2020/01/25,9150.9,8765.0
2020/02/01,9520.5,8771.9
2020/02/08,9731.2,8793.3
2020/02/15,9576.6,8833.0
2020/02/22,8567.4,8892.5
2020/02/29,8575.6,8970.0
2020/03/07,7874.9,9061.6
2020/03/14,6879.5,9161.2
2020/03/21,7502.4,9261.8
2020/03/28,7373.1,9356.0
2020/04/04,8153.6,9437.5
2020/04/11,8650.1,9502.0
2020/04/18,8634.5,9547.3
2020/04/25,8605,9574.2
2020/05/02,9121.3,9586.0
2020/05/09,9014.6,9588.2
2020/05/16,9324.6,9587.4
2020/05/23,9489.9,9590.9
2020/05/30,9814.1,9604.9
2020/06/06,9588.8,9634.3
2020/06/13,9946.1,9681.3
2020/06/20,9757.2,9745.7
2020/06/27,10207.6,9824.3
2020/07/04,10617.4,9912.0
2020/07/11,10503.2,10002.0
2020/07/18,10363.2,10087.4
2020/07/25,10745.3,10162.0
2020/08/01,11011,10221.2
2020/08/08,11019.3,10263.0
2020/08/15,11311.8,10287.6
2020/08/22,11695.6,10298.0
2020/08/29,11313.1,10299.0
2020/09/05,10853.5,10296.5
2020/09/12,10793.3,10296.8
2020/09/19,10913.6,10305.4
2020/09/26,11075,10326.6
2020/10/03,11579.9,10362.1
2020/10/10,11671.6,10411.6
2020/10/17,11548.3,10472.3
2020/10/24,10911.6,10539.6
2020/10/31,11895.2,10608.1
2020/11/07,11829.3,10672.0
2020/11/14,11855,10726.5
2020/11/21,12205.8,10768.3
2020/11/28,12464.2,10796.0
2020/12/05,12377.9,10810.5
2020/12/12,12755.6,10814.4
2020/12/19,12804.7,10811.8
2020/12/26,12888.3,10807.4
2021/01/02,13202,10806.0
2021/01/09,12998.5,10811.7
2021/01/16,13543.1,10827.0
2021/01/23,13070.7,10853.1
2021/01/30,13856.3,10889.0
2021/02/06,14095.5,10932.1
2021/02/13,13874.5,10978.9
2021/02/20,13192.3,11025.2
2021/02/27,12920.2,11067.0
2021/03/06,13319.9,11101.0
2021/03/13,13215.2,11125.5
2021/03/20,13138.7,11139.9
2021/03/27,13480.1,11145.4
2021/04/03,13900.2,11144.2
2021/04/10,14052.3,11139.5
2021/04/17,14016.8,11134.9
2021/04/24,13962.7,11133.4
2021/05/01,13752.2,11137.6
2021/05/08,13430,11148.9
2021/05/15,13471,11167.5
2021/05/22,13748.7,11192.2
2021/05/29,13814.5,11221.1
2021/06/05,14069.4,11251.3
2021/06/12,14030.4,11280.1
2021/06/19,14360.4,11304.9
2021/06/26,14639.3,11323.9
2021/07/03,14701.9,11336.2
2021/07/10,14427.2,11341.9
2021/07/17,14837,11342.2
2021/07/24,14672.7,11338.9
2021/07/31,14835.8,11334.3
2021/08/07,14822.9,11330.5
2021/08/14,14714.7,11329.7
2021/08/21,15129.5,11333.2
2021/08/28,15363.5,11341.5
2021/09/04,15115.5,11354.4
2021/09/11,15044,11370.9
2021/09/18,15047.7,11389.3
2021/09/25,14566.7,11407.8
2021/10/02,14579.5,11424.7
2021/10/09,14897.3,11438.4
2021/10/16,15090.2,11448.0
2021/10/23,15498.4,11453.3
2021/10/30,15971.6,11454.5
2021/11/06,15861,11452.8
2021/11/13,16057.4,11449.3
2021/11/20,15854.8,11445.7
